id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
33124972	Everyone wants a tip now. Touchscree	Everyone wants a tip now. Touchscreens and the pandemic have created tipflation	609venezia	8.534888	7.04896	story	3.0	7.0	1665166389	-15.2857065
33393756	> And please don't think I'm asking 	"> And please don't think I'm asking for American style ""service"" where you practically have servers begging you for tips every 2 secondsIt’s not like this at all. Servers don’t talk about tips or beg for them. You just tip at the end of the meal, whatever amou"	NotYourLawyer	8.471569	7.0763774	comment	3.0	11.0	1667132232	-15.2996025
26733827	I mean, this seems to completely mis	I mean, this seems to completely miss my point. Good servers make much, much more than minimum wage.	hn_throwaway_99	8.53543	6.987547	comment	3.0	13.5	1617844022	-15.275887
26763247	> The op is calling it a donation wh	> The op is calling it a donation when in actually it is a tip.Er, unless I'm missing something, that's the same thing.	cabalamat	8.549804	7.0365577	comment	3.0	11.5	1618075878	-15.282492
37795221	You’re not legally obligated to tip 	You’re not legally obligated to tip so I’m not sure how it would be abolished. Best just to stop doing it if you don’t want to.I’m not sure a law explicitly stopping people from giving more money would pass, but maybe one explicitly asking restaurants to stop 	endisneigh	8.532133	7.0381017	comment	3.0	12.5	1696621002	-15.285506
14976222	I feel like we're not far off from a	"I feel like we're not far off from a digital version of the Amish. ""Technology was perfected by the FSF in 2003; everything developed since is evil."""	trestletech	8.132736	7.272978	comment	3.0	11.0	1502337634	-14.944056
27547104	GrubHub, Doordash, Ubereats etc are 	GrubHub, Doordash, Ubereats etc are unnecessary middle men. What's their actual value to the consumer? An organized list of local menus.	throwitaway1235	8.636741	6.495873	comment	3.0	13.0	1623987326	10.7621975
27579766	I would very much prefer that we com	I would very much prefer that we completely abolish tipping. My wife and I went to a restaurant recently where they had a sign on the table declaring that there would be a 20% tip automatically added to every bill because their employees are “worth more than $	underseacables	8.529534	7.043418	comment	3.0	12.0	1624287315	-15.291394
27676976	You're not really voicing your disse	You're not really voicing your dissent at that point.  The server gets no tip and doesn't get any indication why.  Why not just bring cash to tip? Or call the restaurant and talk to the manager? Not tipping doesn't accomplish anything and the server who has no	msrenee	8.530306	7.0221167	comment	3.0	13.0	1624979584	-15.284509
27805407	Why do waiters in US restaurants giv	Why do waiters in US restaurants give you bill even if you do not ask for it?	zekrioca	8.543877	6.5537896	story	3.0	2.0	1626046374	0.1550149
